created_at,entry_id,field1,field2
2017-04-08 17:37:09 UTC,809,0,0
2017-04-08 17:37:31 UTC,810,1,0
2017-04-08 17:38:51 UTC,811,3,0
2017-04-08 17:39:55 UTC,812,4,0
2017-04-08 17:42:31 UTC,813,4,0
2017-04-08 17:42:52 UTC,814,3,0
2017-04-08 17:55:26 UTC,815,2,0
2017-04-08 17:57:19 UTC,816,4,0
2017-04-08 17:58:57 UTC,817,4,0
2017-04-08 18:05:43 UTC,818,4,0
2017-04-08 18:09:10 UTC,819,4,0
2017-04-08 18:13:57 UTC,820,0,0
2017-04-08 18:33:10 UTC,821,2,0
2017-04-08 18:33:59 UTC,822,3,0
2017-04-08 18:41:51 UTC,823,0,0
2017-04-08 18:44:01 UTC,824,0,0
2017-04-08 18:44:51 UTC,825,2,0
2017-04-08 18:52:12 UTC,826,0,0
2017-04-08 18:55:56 UTC,827,1,0
2017-04-08 18:57:04 UTC,828,0,0
2017-04-08 19:02:17 UTC,829,0,0
2017-04-08 19:07:13 UTC,830,3,0
2017-04-08 19:11:04 UTC,831,4,0
2017-04-08 19:22:27 UTC,832,4,0
2017-04-08 19:29:55 UTC,833,3,0
2017-04-08 19:33:19 UTC,834,0,0
2017-04-08 19:35:33 UTC,835,4,0
2017-04-08 19:42:42 UTC,836,2,0
2017-04-08 19:51:11 UTC,837,2,0
2017-04-08 19:53:19 UTC,838,0,0
2017-04-08 20:03:43 UTC,839,2,0
2017-04-08 20:10:30 UTC,840,0,0
2017-04-08 20:13:12 UTC,841,1,0
2017-04-08 20:21:16 UTC,842,4,0
2017-04-08 20:21:37 UTC,843,3,0
2017-04-08 20:29:58 UTC,844,4,0
2017-04-08 20:45:22 UTC,845,2,0
2017-04-08 20:52:13 UTC,846,4,0
2017-04-08 20:54:06 UTC,847,2,0
2017-04-08 20:55:50 UTC,848,4,0
2017-04-08 21:07:57 UTC,849,2,0
2017-04-08 21:13:44 UTC,850,4,0
2017-04-08 21:33:37 UTC,851,3,0
2017-04-08 21:37:12 UTC,852,4,0
2017-04-08 21:48:45 UTC,853,0,0
2017-04-08 21:56:16 UTC,854,2,0
2017-04-08 21:56:32 UTC,855,4,0
2017-04-08 21:56:54 UTC,856,0,0
2017-04-08 22:10:17 UTC,857,3,0
2017-04-08 22:13:49 UTC,858,0,0
2017-04-08 22:14:08 UTC,859,0,0
2017-04-08 22:15:21 UTC,860,3,0
2017-04-08 22:19:48 UTC,861,4,0
2017-04-08 22:20:41 UTC,862,3,0
2017-04-08 22:22:06 UTC,863,2,0
2017-04-08 22:26:00 UTC,864,3,0
2017-04-08 22:27:59 UTC,865,4,0
2017-04-08 22:33:30 UTC,866,0,0
2017-04-08 22:33:56 UTC,867,1,0
2017-04-08 22:39:20 UTC,868,0,0
2017-04-08 22:46:28 UTC,869,3,0
2017-04-08 22:46:44 UTC,870,4,0
2017-04-08 22:50:24 UTC,871,4,0
2017-04-08 22:55:16 UTC,872,1,0
2017-04-08 22:55:35 UTC,873,4,0
2017-04-08 23:04:21 UTC,874,0,0
2017-04-08 23:04:59 UTC,875,1,0
2017-04-08 23:07:31 UTC,876,0,0
2017-04-08 23:38:20 UTC,877,0,0
2017-04-08 23:38:53 UTC,878,4,0
2017-04-08 23:54:10 UTC,879,1,0
2017-04-08 23:54:28 UTC,880,4,0
2017-04-08 23:54:47 UTC,881,3,0
2017-04-08 23:55:05 UTC,882,0,0
2017-04-08 23:57:38 UTC,883,0,0
2017-04-08 23:59:17 UTC,884,0,0
2017-04-09 00:00:11 UTC,885,4,0
2017-04-09 00:03:27 UTC,886,3,0
2017-04-09 00:03:52 UTC,887,0,0
2017-04-09 00:06:21 UTC,888,3,0
2017-04-09 00:10:17 UTC,889,4,0
2017-04-09 00:10:34 UTC,890,3,0
2017-04-09 00:10:52 UTC,891,2,0
2017-04-09 00:11:10 UTC,892,0,0
2017-04-09 00:17:02 UTC,893,3,0
2017-04-09 00:17:24 UTC,894,4,0
2017-04-09 00:27:14 UTC,895,2,0
2017-04-09 00:27:40 UTC,896,0,0
